Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
HLT_PFHT250_DiPFJetAve90_PFAlphaT0p55_v1	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu16_TkMu0_dEta18_Phi_v2	BPH	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_Mu50_eta2p1_v1	EXO	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
HLT_PFMET120_NoiseCleaned_Mu5_v2	SUSY	0	5	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	
HLT_MET250_v1	NoGroup	0	6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	
HLT_IsoMu16_eta2p1_CaloMET30_v2	TAU,HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu15_IsoVVVL_PFHT350_PFMET70_v1	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Ele18_CaloIdM_TrackIdM_PFJet30_v2	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu50_v1	EXO,B2G	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
HLT_Ele10_CaloIdM_TrackIdM_CentralPFJet30_BTagCSV0p54PF_v2	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v2	HIG,TOP,SMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_VBF_DisplacedJet40_TightID_Hadronic_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Photon50_v2	SMP,EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_VBF_v2	HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v2	HIG,SMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Photon175_v2	SMP,EXO	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
